Mode,BeamID,BeamType,beam_db,beam_theta,beam_phi,ch,ch_sw,ch_db,ch_deg
TX,1,0,0,0,0,,,,
RX,1,0,0,0,0,,,,
TX,2,0,0,1,270,,,,
RX,2,0,0,1,270,,,,
TX,3,0,0,2,270,,,,
RX,3,0,0,2,270,,,,
TX,4,0,0,3,270,,,,
RX,4,0,0,3,270,,,,
TX,5,0,0,4,270,,,,
RX,5,0,0,4,270,,,,
TX,6,0,0,5,270,,,,
RX,6,0,0,5,270,,,,
TX,7,0,0,6,270,,,,
RX,7,0,0,6,270,,,,
TX,8,0,0,7,270,,,,
RX,8,0,0,7,270,,,,
TX,9,0,0,8,270,,,,
RX,9,0,0,8,270,,,,
TX,10,0,0,9,270,,,,
RX,10,0,0,9,270,,,,
TX,11,0,0,10,270,,,,
RX,11,0,0,10,270,,,,
TX,12,0,0,11,270,,,,
RX,12,0,0,11,270,,,,
TX,13,0,0,12,270,,,,
RX,13,0,0,12,270,,,,
TX,14,0,0,13,270,,,,
RX,14,0,0,13,270,,,,
TX,15,0,0,14,270,,,,
RX,15,0,0,14,270,,,,
TX,16,0,0,15,270,,,,
RX,16,0,0,15,270,,,,
TX,17,0,0,16,270,,,,
RX,17,0,0,16,270,,,,
TX,18,0,0,17,270,,,,
RX,18,0,0,17,270,,,,
TX,19,0,0,18,270,,,,
RX,19,0,0,18,270,,,,
TX,20,0,0,19,270,,,,
RX,20,0,0,19,270,,,,
TX,21,0,0,20,270,,,,
RX,21,0,0,20,270,,,,
TX,22,0,0,21,270,,,,
RX,22,0,0,21,270,,,,
TX,23,0,0,22,270,,,,
RX,23,0,0,22,270,,,,
TX,24,0,0,23,270,,,,
RX,24,0,0,23,270,,,,
TX,25,0,0,24,270,,,,
RX,25,0,0,24,270,,,,
TX,26,0,0,25,270,,,,
RX,26,0,0,25,270,,,,
TX,27,0,0,1,90,,,,
RX,27,0,0,1,90,,,,
TX,28,0,0,2,90,,,,
RX,28,0,0,2,90,,,,
TX,29,0,0,3,90,,,,
RX,29,0,0,3,90,,,,
TX,30,0,0,4,90,,,,
RX,30,0,0,4,90,,,,
TX,31,0,0,5,90,,,,
RX,31,0,0,5,90,,,,
TX,32,0,0,6,90,,,,
RX,32,0,0,6,90,,,,
TX,33,0,0,7,90,,,,
RX,33,0,0,7,90,,,,
TX,34,0,0,8,90,,,,
RX,34,0,0,8,90,,,,
TX,35,0,0,9,90,,,,
RX,35,0,0,9,90,,,,
TX,36,0,0,10,90,,,,
RX,36,0,0,10,90,,,,
TX,37,0,0,11,90,,,,
RX,37,0,0,11,90,,,,
TX,38,0,0,12,90,,,,
RX,38,0,0,12,90,,,,
TX,39,0,0,13,90,,,,
RX,39,0,0,13,90,,,,
TX,40,0,0,14,90,,,,
RX,40,0,0,14,90,,,,
TX,41,0,0,15,90,,,,
RX,41,0,0,15,90,,,,
TX,42,0,0,16,90,,,,
RX,42,0,0,16,90,,,,
TX,43,0,0,17,90,,,,
RX,43,0,0,17,90,,,,
TX,44,0,0,18,90,,,,
RX,44,0,0,18,90,,,,
TX,45,0,0,19,90,,,,
RX,45,0,0,19,90,,,,
TX,46,0,0,20,90,,,,
RX,46,0,0,20,90,,,,
TX,47,0,0,21,90,,,,
RX,47,0,0,21,90,,,,
TX,48,0,0,22,90,,,,
RX,48,0,0,22,90,,,,
TX,49,0,0,23,90,,,,
RX,49,0,0,23,90,,,,
TX,50,0,0,24,90,,,,
RX,50,0,0,24,90,,,,
TX,51,0,0,25,90,,,,
RX,51,0,0,25,90,,,,
